dcterms:identifier,dcterms:image
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_013,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_014,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_015,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_016,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_017,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_018,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_019,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_020,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_021,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_001,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
d43cb3f5-ab3d-4281-9575-93d25f64c8f8_002,https://agorha.inha.fr/ark:/54721/f8553933-561e-4cf7-8714-063687c3ba31/doc/79f5af85-ec34-491a-b813-4e94a5985198/original.jpg
0155abda-6220-40d2-8c30-ded49f7f7a95_001,https://agorha.inha.fr/ark:/54721/26deb1d2-50e0-45db-b6f2-c944f9353dbd/doc/52f1caaa-137d-49f0-971a-1d469fd7162f/original.jpg
139a2d94-39d1-46dd-8732-ee3b8c6ba199_001,https://agorha.inha.fr/ark:/54721/26deb1d2-50e0-45db-b6f2-c944f9353dbd/doc/52f1caaa-137d-49f0-971a-1d469fd7162f/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_001,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_002,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_003,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_004,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_005,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_006,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_007,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_008,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_009,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_010,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_011,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_012,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_013,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_014,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_015,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_016,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_017,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_018,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_019,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_020,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_021,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_022,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_023,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_024,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_025,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_026,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_027,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_028,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_029,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_030,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_031,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_032,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_033,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_034,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_035,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_036,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_037,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
3cd6e4a9-5d3b-49e1-ad18-85a6a18569b9_038,https://agorha.inha.fr/ark:/54721/ac488bb0-5a65-42cb-8d75-7175c2d6f184/doc/f578481b-92b8-41dc-851c-53a6ba842a87/original.jpg
b4c87db4-389f-4339-b8a6-23c1562860d7_001,https://agorha.inha.fr/ark:/54721/26deb1d2-50e0-45db-b6f2-c944f9353dbd/doc/52f1caaa-137d-49f0-971a-1d469fd7162f/original.jpg
5ae32993-83cc-41b6-b66d-dabf8dd147ea_001,https://agorha.inha.fr/ark:/54721/26deb1d2-50e0-45db-b6f2-c944f9353dbd/doc/52f1caaa-137d-49f0-971a-1d469fd7162f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_004,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_005,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_006,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_007,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_008,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_009,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
aa448648-7703-4ae1-90fc-f5de06db8beb_010,https://agorha.inha.fr/ark:/54721/0bc8e531-8aba-42b3-873b-d02f3d0d2223/doc/55534c91-ea04-456c-8090-4d1d31891d0f/original.jpg
